"id","result_time","nodeid","v1","v2","v3","v4","v5","image_id","v6","v7"
"1152","2020-12-18 00:03:52","1","9867","1","1.99778","5","0","1151",\0,\0
"1153","2020-12-18 00:33:54","1","9067","-800","-1598.22","5","0","1152",\0,\0
"1154","2020-12-18 01:03:58","1","6968","-2099","-4188.69","5","0","1153",\0,\0
"1155","2020-12-18 01:34:01","1","9868","2900","5790.35","5","0","1154",\0,\0
"1156","2020-12-18 02:04:02","1","9069","-799","-1597.11","5","0","1155",\0,\0
"1157","2020-12-18 02:34:06","1","4969","-4100","-8181.82","5","0","1156",\0,\0
"1158","2020-12-18 03:04:07","1","4969","0","0","5","0","1157",\0,\0
"1159","2020-12-18 03:34:07","1","4969","0","0","5","0","1158",\0,\0
"1160","2020-12-18 04:04:10","1","4969","0","0","5","0","1159",\0,\0
"1161","2020-12-18 04:34:15","1","4970","1","1.99446","5","0","1160",\0,\0
"1162","2020-12-18 05:04:16","1","4970","0","0","5","0","1161",\0,\0
"1163","2020-12-18 05:34:19","1","9770","4800","9584.03","5","0","1162",\0,\0
"1164","2020-12-18 06:04:24","1","4970","-4800","-9573.41","5","0","1163",\0,\0
"1165","2020-12-18 07:07:31","1","4970","0","0","5","0","1164",\0,\0
"1166","2020-12-18 07:37:44","1","4977","7","13.8996","5","0","1165",\0,\0
"1167","2020-12-18 08:07:49","1","6979","2002","3992.91","5","0","1166",\0,\0
"1168","2020-12-18 08:37:55","1","6980","1","1.99336","5","0","1167",\0,\0
"1169","2020-12-18 09:08:00","1","4980","-2000","-3988.92","5","0","1168",\0,\0
"1170","2020-12-18 09:38:06","1","6980","2000","3986.71","5","0","1169",\0,\0
"1171","2020-12-18 10:08:11","1","6980","0","0","5","0","1170",\0,\0
"1172","2020-12-18 10:38:15","1","4980","-2000","-3991.13","5","0","1171",\0,\0
"1173","2020-12-18 11:08:19","1","7986","3006","5998.67","5","0","1172",\0,\0
"1174","2020-12-18 11:38:22","1","6981","-1005","-2006.66","5","0","1173",\0,\0
"1175","2020-12-18 12:08:24","1","6190","-791","-1580.24","5","0","1174",\0,\0
"1176","2020-12-18 12:38:27","1","9990","3800","7587.35","5","0","1175",\0,\0
"1177","2020-12-18 13:08:30","1","4992","-4998","-9979.37","5","0","1176",\0,\0
"1178","2020-12-18 13:38:32","1","9995","5003","9994.89","5","0","1177",\0,\0
"1179","2020-12-18 14:08:34","1","9996","1","1.99778","5","0","1178",\0,\0
"1180","2020-12-18 14:38:37","1","7999","-1997","-3987.35","5","0","1179",\0,\0
"1181","2020-12-18 15:08:40","1","15000","7001","13978.7","5","0","1180",\0,\0
"1182","2020-12-18 15:38:44","1","10001","-4999","-9975.83","5","0","1181",\0,\0
"1183","2020-12-18 16:08:45","1","10006","5","9.99445","5","0","1182",\0,\0
"1184","2020-12-18 16:38:47","1","10112","106","211.765","5","0","1183",\0,\0
"1185","2020-12-18 17:08:46","1","10115","3","6.00333","5","0","1184",\0,\0
"1186","2020-12-18 17:38:45","1","10116","1","2.00111","5","0","1185",\0,\0
"1187","2020-12-18 18:08:45","1","10227","111","222","5","0","1186",\0,\0
"1188","2020-12-18 18:38:48","1","15133","4906","9795.67","5","0","1187",\0,\0
"1189","2020-12-18 19:08:50","1","19035","3902","7795.34","5","0","1188",\0,\0
"1190","2020-12-18 19:38:54","1","10336","-8699","-17359.4","5","0","1189",\0,\0
"1191","2020-12-18 20:08:53","1","19036","8700","17409.7","5","0","1190",\0,\0
